SQcu02,S,CU,02,沪铜02
SQcu03,S,CU,03,沪铜03
SQcu04,S,CU,04,沪铜04
SQcu05,S,CU,05,沪铜05
SQcu06,S,CU,06,沪铜06
SQcu07,S,CU,07,沪铜07
SQcu08,S,CU,08,沪铜08
SQcu09,S,CU,09,沪铜09
SQcu10,S,CU,10,沪铜10
SQcu11,S,CU,11,沪铜11
SQcu12,S,CU,12,沪铜12
SQcuMI,S,CU,MI,沪铜主连
SQfu01,S,FU,01,燃油01
SQfu02,S,FU,02,燃油02
SQfu03,S,FU,03,燃油03
SQfu04,S,FU,04,燃油04
SQfu05,S,FU,05,燃油05
SQfu06,S,FU,06,燃油06
SQfu07,S,FU,07,燃油07
SQfu08,S,FU,08,燃油08
SQfu09,S,FU,09,燃油09
SQfu10,S,FU,10,燃油10
SQfu11,S,FU,11,燃油11
SQfu12,S,FU,12,燃油12
SQfuMI,S,FU,MI,燃油主连
SQpb01,S,PB,01,沪铅01
SQpb02,S,PB,02,沪铅02
SQpb03,S,PB,03,沪铅03
SQpb04,S,PB,04,沪铅04
SQpb05,S,PB,05,沪铅05
SQpb06,S,PB,06,沪铅06
SQpb07,S,PB,07,沪铅07
SQpb08,S,PB,08,沪铅08
SQpb09,S,PB,09,沪铅09
SQpb10,S,PB,10,沪铅10
SQpb11,S,PB,11,沪铅11
SQpb12,S,PB,12,沪铅12
SQpbMI,S,PB,MI,沪铅主连
SQrb01,S,RB,01,螺纹01
SQrb02,S,RB,02,螺纹02
SQrb03,S,RB,03,螺纹03
SQrb04,S,RB,04,螺纹04
SQrb05,S,RB,05,螺纹05
SQrb06,S,RB,06,螺纹06
SQrb07,S,RB,07,螺纹07
SQrb08,S,RB,08,螺纹08
SQrb09,S,RB,09,螺纹09
SQrb10,S,RB,10,螺纹10
SQrb11,S,RB,11,螺纹11
SQrb12,S,RB,12,螺纹12
SQrbMI,S,RB,MI,螺纹主连
SQru01,S,RU,01,橡胶01
SQru03,S,RU,03,橡胶03
SQru04,S,RU,04,橡胶04
SQru05,S,RU,05,橡胶05
SQru06,S,RU,06,橡胶06
SQru07,S,RU,07,橡胶07
SQru08,S,RU,08,橡胶08
SQru09,S,RU,09,橡胶09
SQru10,S,RU,10,橡胶10
SQru11,S,RU,11,橡胶11
SQruMI,S,RU,MI,橡胶主连
SQwr01,S,WR,01,线材01
SQwr02,S,WR,02,线材02
SQwr03,S,WR,03,线材03
SQwr04,S,WR,04,线材04
SQwr05,S,WR,05,线材05
SQwr06,S,WR,06,线材06
SQwr07,S,WR,07,线材07
SQwr08,S,WR,08,线材08
SQwr09,S,WR,09,线材09
SQwr10,S,WR,10,线材10
SQwr11,S,WR,11,线材11
SQwr12,S,WR,12,线材12
SQwrMI,S,WR,MI,线材主连
SQzn01,S,ZN,01,沪锌01
SQzn02,S,ZN,02,沪锌02
SQzn03,S,ZN,03,沪锌03
SQzn04,S,ZN,04,沪锌04
SQzn05,S,ZN,05,沪锌05
SQzn06,S,ZN,06,沪锌06
SQzn07,S,ZN,07,沪锌07
SQzn08,S,ZN,08,沪锌08
SQzn09,S,ZN,09,沪锌09
SQzn10,S,ZN,10,沪锌10
SQzn11,S,ZN,11,沪锌11
SQzn12,S,ZN,12,沪锌12
SQznMI,S,ZN,MI,沪锌主连
SQau01,S,AU,01,黄金01
SQau02,S,AU,02,黄金02
SQau03,S,AU,03,黄金03
SQau04,S,AU,04,黄金04
SQau05,S,AU,05,黄金05
SQau06,S,AU,06,黄金06
SQau07,S,AU,07,黄金07
SQau08,S,AU,08,黄金08
SQau09,S,AU,09,黄金09
SQau10,S,AU,10,黄金10
SQau11,S,AU,11,黄金11
SQau12,S,AU,12,黄金12
SQauMI,S,AU,MI,黄金主连
DLaX01,D,a_X,01,黄豆X01
DLaX03,D,a_X,03,黄豆X03
DLaX05,D,a_X,05,黄豆X05
DLaX07,D,a_X,07,黄豆X07
DLaX09,D,a_X,09,黄豆X09
DLaX11,D,a_X,11,黄豆X11
DLaY01,D,a_Y,01,黄豆Y01
DLaY03,D,a_Y,03,黄豆Y03
DLaY05,D,a_Y,05,黄豆Y05
DLaY07,D,a_Y,07,黄豆Y07
DLaY09,D,a_Y,09,黄豆Y09
DLaY11,D,a_Y,11,黄豆Y11
DLaMI,D,a,MI,黄豆主连
DLb01,D,b,01,豆二01
DLb03,D,b,03,豆二03
DLb05,D,b,05,豆二05
DLb07,D,b,07,豆二07
DLb09,D,b,09,豆二09
DLb11,D,b,11,豆二11
DLbMI,D,b,MI,豆二主连
DLc01,D,c,01,玉米01
DLc03,D,c,03,玉米03
DLc05,D,c,05,玉米05
DLc07,D,c,07,玉米07
DLc09,D,c,09,玉米09
DLc11,D,c,11,玉米11
DLcMI,D,c,MI,玉米主连
DLj01,D,j,01,焦炭01
DLj02,D,j,02,焦炭02
DLj03,D,j,03,焦炭03
DLj04,D,j,04,焦炭04
DLj05,D,j,05,焦炭05
DLj06,D,j,06,焦炭06
DLj07,D,j,07,焦炭07
DLj08,D,j,08,焦炭08
DLj09,D,j,09,焦炭09
DLj10,D,j,10,焦炭10
DLj11,D,j,11,焦炭11
DLj12,D,j,12,焦炭12
DLjMI,D,j,MI,焦炭主连
DLl01,D,l,01,塑料01
DLl02,D,l,02,塑料02
DLl03,D,l,03,塑料03
DLl04,D,l,04,塑料04
DLl05,D,l,05,塑料05
DLl06,D,l,06,塑料06
DLl07,D,l,07,塑料07
DLl08,D,l,08,塑料08
DLl09,D,l,09,塑料09
DLl10,D,l,10,塑料10
DLl11,D,l,11,塑料11
DLl12,D,l,12,塑料12
DLlMI,D,l,MI,塑料主连
DLm01,D,m,01,豆粕01
DLm03,D,m,03,豆粕03
DLm05,D,m,05,豆粕05
DLm07,D,m,07,豆粕07
DLm08,D,m,08,豆粕08
DLm09,D,m,09,豆粕09
DLm11,D,m,11,豆粕11
DLm12,D,m,12,豆粕12
DLmMI,D,m,MI,豆粕主连
DLp01,D,p,01,棕榈01
DLp02,D,p,02,棕榈02
DLp03,D,p,03,棕榈03
DLp04,D,p,04,棕榈04
DLp05,D,p,05,棕榈05
DLp06,D,p,06,棕榈06
DLp07,D,p,07,棕榈07
DLp08,D,p,08,棕榈08
DLp09,D,p,09,棕榈09
DLp10,D,p,10,棕榈10
DLp11,D,p,11,棕榈11
DLp12,D,p,12,棕榈12
DLpMI,D,p,MI,棕榈主连
DLv01,D,v,01,PVC01
